"","id1","id2","genotypeOverlap","cageOverlap","Wedge","Sex","Block","infection","Wormy","InfDiff","Genotype","fullSib","SocAssoc","SocAssoc240","SocAssoc15","Num15","Denom15","SocAssoc2min","SocAssoc15feeder","SocAssoc15noF","SocAssoc1.15","SocAssoc2.15","Num15.2","Denom15.2","PCytDist","wbcStartJ","wbcMidJ","wbcJI","mbJI","CD4JI","CD8JI","BcellJI","combTcellJI","combTbloodJI"
"1","450","452",TRUE,TRUE,"Wedge 2","Female","Block 1","One","One","Different","PWK",TRUE,0.758620689655172,0.813793103448276,0.655172413793103,95,145,0.351724137931034,0.96969696969697,0.5625,0.666666666666667,0.648936170212766,61,94,5.70730426672688,0.0582524271844661,0.125585754451734,0.814882032667877,0.329646763364562,0.821221006405321,0.944954421791465,0.670237952960287,0.857431354349279,0.772238085312362
"2","450","453",TRUE,TRUE,"Wedge 2","Female","Block 1","One","Neither","Different","PWK",TRUE,0.714285714285714,0.802721088435374,0.585034013605442,86,147,0.360544217687075,1,0.464912280701754,0.6,0.576086956521739,53,92,6.51414536135945,0.0657640232108317,0.0806142034548944,0.848428835489834,0.544295921044126,0.871648450398736,0.893274846380808,0.925099248296002,0.875785239044967,0.843607597657428
"3","450","457",TRUE,FALSE,"Wedge 2","Female","Block 1","One","Neither","Different","PWK",FALSE,0.288732394366197,0.295774647887324,0.232394366197183,33,142,0.154929577464789,0.333333333333333,0.201834862385321,0.423076923076923,0.122222222222222,11,90,NA,0.348472336911643,0.0601357904946653,NA,NA,NA,NA,NA,NA,NA
"4","450","458",TRUE,FALSE,"Wedge 2","Female","Block 1","Neither","Neither","Same","PWK",FALSE,0.100719424460432,0.100719424460432,0.0935251798561151,13,139,0.0503597122302158,0.181818181818182,0.0660377358490566,0.26,0,0,89,NA,0.347107438016529,NA,NA,NA,NA,NA,NA,NA,NA
"5","450","459",TRUE,FALSE,"Wedge 2","Female","Block 1","Neither","Neither","Same","PWK",FALSE,0.714285714285714,0.764285714285714,0.614285714285714,86,140,0.321428571428571,0.96969696969697,0.504672897196262,0.66,0.588888888888889,53,90,3.45651523597446,0.322147651006711,0.289136013686912,0.716738197424893,0.216285697490972,0.96175435145491,0.995201647074174,0.779714414216621,0.952686439183482,0.330088562990744
"6","450","462",TRUE,FALSE,"Wedge 2","Female","Block 1","Neither","Neither","Same","PWK",FALSE,0.161971830985915,0.167832167832168,0.147887323943662,21,142,0.0915492957746479,0.242424242424242,0.119266055045872,0.39622641509434,0,0,89,NA,0.0861244019138755,NA,NA,NA,NA,NA,NA,NA,NA
"7","450","463",TRUE,FALSE,"Wedge 2","Female","Block 1","One","Neither","Different","PWK",FALSE,0.517730496453901,0.563380281690141,0.453900709219858,64,141,0.276595744680851,0.757575757575758,0.361111111111111,0.519230769230769,0.415730337078652,37,89,NA,0.0487804878048781,0.225377107364685,NA,NA,NA,NA,NA,NA,NA
"8","450","464",TRUE,FALSE,"Wedge 2","Female","Block 1","One","One","Different","PWK",FALSE,0.265734265734266,0.27972027972028,0.230769230769231,33,143,0.111888111888112,0.333333333333333,0.2,0.425925925925926,0.112359550561798,10,89,3.97479536586457,0.0879541108986616,0.0732177263969171,NA,0.363180427990904,NA,NA,NA,NA,NA
"9","450","465",TRUE,FALSE,"Wedge 2","Female","Block 1","Neither","Neither","Same","PWK",FALSE,0.75177304964539,0.780141843971631,0.659574468085106,93,141,0.404255319148936,1,0.555555555555556,0.72,0.626373626373626,57,91,2.71299308551593,0.0769230769230769,0.364677023712183,0.915708812260536,0.229700008490266,0.915108066035072,0.935343619772873,0.757893662504714,0.919509277567304,0.847981558993514
"10","450","466",TRUE,FALSE,"Wedge 2","Female","Block 1","One","Neither","Different","PWK",FALSE,0.710526315789474,0.769736842105263,0.565789473684211,86,152,0.348684210526316,1,0.445378151260504,0.542372881355932,0.580645161290323,54,93,8.23232433710285,0.0934223069590086,0.170173833485819,0.886792452830189,0.524584667453095,0.891039760450859,0.951079834781778,0.850495319886246,0.91049993681599,0.549257053405106
"11","450","469",TRUE,FALSE,"Wedge 2","Female","Block 1","One","Neither","Different","PWK",FALSE,0.592857142857143,0.635714285714286,0.514285714285714,72,140,0.264285714285714,0.696969696969697,0.457943925233645,0.25,0.652173913043478,60,92,NA,0.684210526315789,0.269896193771626,0.444043321299639,NA,0.584802260115564,0.562823335500893,0.519807805386284,0.581344295495042,0.946593489459233
"12","450","471",TRUE,FALSE,"Wedge 2","Female","Block 1","Neither","Neither","Same","PWK",FALSE,0.542857142857143,0.585714285714286,0.464285714285714,65,140,0.221428571428571,0.575757575757576,0.433962264150943,0.0212765957446809,0.688172043010753,64,93,4.67571824840865,0.0934223069590086,0.0879541108986616,0.558846453624318,NA,0.427676147661807,0.12213236895915,0.417763018610303,0.321908225497113,0.495047735372576
"13","450","473",TRUE,FALSE,"Wedge 2","Female","Block 1","Neither","Neither","Same","PWK",FALSE,0.280575539568345,0.294964028776978,0.258992805755396,36,139,0.165467625899281,0.424242424242424,0.207547169811321,0.72,0,0,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","450","474",TRUE,FALSE,"Wedge 2","Female","Block 1","One","Neither","Different","PWK",FALSE,0.468531468531469,0.48951048951049,0.405594405594406,58,143,0.237762237762238,0.757575757575758,0.3,0.584905660377358,0.3,27,90,4.4633885245954,0.0563654033041788,0.0676328502415459,0.901140684410646,NA,0.947274620428871,0.980344562697644,0.752421882647394,0.947139565402323,0.689807922141598
