Cage,Genotype,Left ear tag,Right ear tag,Parentage,RFID Tag,Location,Wedge,Sex,Infected,Lost RFID 1,Lost RFID 2,Missing 1,Missing 2,Uncaptured
24,PWK,460,672,G467,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
24,PWK,461,669,G644,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
24,PWK,462,670,G664,51 48 51 54 50,SF,2,Female,N,FALSE,FALSE,TRUE,TRUE,TRUE
24,PWK,463,736,G651,51 48 50 52 55,SF,2,Female,Y,FALSE,FALSE,FALSE,TRUE,TRUE
24,PWK,464,671,G644,51 48 51 55 53,SF,2,Female,Y,FALSE,FALSE,FALSE,TRUE,TRUE
25,PWK,465,663,G646,51 48 51 55 52,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
25,PWK,466,660,G645,51 48 51 55 55,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
25,PWK,467,662,G645,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
25,PWK,468,661,G645,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
25,PWK,469,86,G645,51 48 50 53 48,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
26,PWK,470,667,G647,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
26,PWK,471,666,G649,51 48 50 49 54,SF,2,Female,N,TRUE,FALSE,FALSE,FALSE,FALSE
26,PWK,472,,G647,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
26,PWK,473,88,G647,51 48 51 48 57,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
26,PWK,474,665,G649,51 48 51 52 57,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
