Sample ID,Genotype,Infection_Status,Location,Live.count,CD45.count,Tcells,CD4.Tcells,CD4.effector.memory.Tcells,CD4.central.memory.Tcells,CD4.naive.Tcells,CD4.double.negative.Tcells,CD8.Tcells,CD8.effector.memory.Tcells,CD8.central.memory.Tcells,CD8.naive.Tcells,CD8.double.negative.Tcells,B220.cells,Percent.CD45,Percent.Tcells,Percent.CD4.Tcells,Percent.CD8.Tcells,Percent.B220,Percent.CD4.effector.memory,Percent.CD4.central.memory,Percent.CD4.naive,Percent.CD4.double.negative,Percent.CD8.effector.memory,Percent.CD8.central.memory,Percent.CD8.naive,Percent.CD8.double.negative
423,B6,Tm,SF,203523,191638,15856,7715,544,320,6056,795,7658,326,1747,5217,368,45110,94.2,8.27,4.03,4,23.5,7.05,4.15,4.15,10.3,4.26,22.8,68.1,4.81
424,B6,Tm,SF,158101,152091,20585,12536,4803,861,5328,1544,7162,703,1696,4519,244,56107,96.2,13.5,8.24,4.71,36.9,38.3,6.87,6.87,12.3,9.82,23.7,63.1,3.41
452,PWK,Tm,SF,203183,195341,32784,21805,1861,2129,16648,1167,9191,3119,2985,2866,221,24491,96.1,16.8,11.2,4.71,12.5,8.53,9.76,9.76,5.35,33.9,32.5,31.2,2.4
453,PWK,Tm,SF,79184,75797,15316,11578,863,1270,8681,764,3471,355,1679,1379,58,10972,95.7,20.2,15.3,4.58,14.5,7.45,11,11,6.6,10.2,48.4,39.7,1.67
466,PWK,Tm,SF,66901,64378,8248,5309,708,428,3329,844,2223,819,579,674,151,10989,96.2,12.8,8.25,3.45,17.1,13.3,8.06,8.06,15.9,36.8,26,30.3,6.79
469,PWK,Tm,SF,159744,147466,46857,36213,2753,3895,28540,1025,10004,640,5429,3851,84,20964,92.3,31.8,24.6,6.78,14.2,7.6,10.8,10.8,2.83,6.4,54.3,38.5,0.84
474,PWK,Tm,SF,43661,41752,16120,11907,550,874,9568,915,4019,169,1816,1976,58,10309,95.6,38.6,28.5,9.63,24.7,4.62,7.34,7.34,7.68,4.21,45.2,49.2,1.44
427,129,N,SF,240899,233053,68382,50833,4460,3266,41309,1798,16609,485,1368,14232,524,23941,96.7,29.3,21.8,7.13,10.3,8.77,6.42,6.42,3.54,2.92,8.24,85.7,3.15
441,129,N,SF,82708,80927,29103,22852,2816,1076,18134,826,5283,146,330,4656,151,7814,97.8,36,28.2,6.53,9.66,12.3,4.71,4.71,3.61,2.76,6.25,88.1,2.86
446,129,N,SF,264575,252577,50995,38226,4169,2209,30106,1742,11739,827,747,9559,606,25442,95.5,20.2,15.1,4.65,10.1,10.9,5.78,5.78,4.56,7.04,6.36,81.4,5.16
