Mouse,Location,Infected,Strain,Block,X..T.cells.of.CD45.,X..CD4..of.CD45.,X..CD4..Q1.CD62L....CD44..eff.mem.of.CD45.,X..CD4..Q2.CD62L....CD44..cent.mem.of.CD45.,X..CD4..Q3.CD62L....CD44..naive.of.CD45.,X..CD4..Q4.CD62L....CD44..of.CD45.,X..Ki.67..activated.CD4.of.CD45.,X..KLRG1..CD4..of.CD45.,X..FoxP3..CD4..of.CD45.,X..Gata3..CD4..of.CD45.,X..Tbet..CD4..of.CD45.,X..RorgT..CD4..of.CD45.,X..CD8..of.CD45.,X..Q1.CD62L...CD44..eff.mem.of.CD45.,X..CD8..Q2.CD62L....CD44..cent.mem.of.CD45.,X..CD8..Q3.CD62L....CD44..naive.of.CD45.,X..CD8..Q4.CD62L....CD44..of.CD45.,X..Ki.67..CD8..of.CD45.,X..KLRG1..CD8..of.CD45.,X..B220..cells.of.CD45.,X..CD44..B.cells.of.CD45.,X..CD62L..Bcells.of.CD45.,X..CD62hiCD44..B.cells.of.CD45.,X..CD62hiCD44..B.cells.of.CD45..1,X..gd.T.cells.of.CD45.,X..NK.cells.of.CD45.,X..lin..of.CD45.,X..Ki67..ILCs.of.CD45.
469,SF,Infected,PWK,Block1,40.2,25.1,7.29,13.7,3.22,0.861,4.19,0.503,2.87,0.508,0.773,0.159,14.7,3.96,9.25,1.27,0.244,2.55,0.075,55.9,4.8,11.5,0.922,10.6,0.876,0.00233,2.32,0.828
474,SF,Infected,PWK,Block1,62.4,43.1,6.38,33.7,2.63,0.42,4.43,0.973,3.98,1.12,0.325,0.344,18.9,0.804,17,1.05,0.0762,1.65,0.0823,33.4,4.15,21.8,1.51,20.4,1.87,0.0161,1.91,0.526
427,SF,UnInfected,129SL,Block1,66.3,48.1,4.94,2.08,38.4,2.65,2.43,0.22,4.73,0.652,0.143,0.432,17.8,0.231,0.507,15.6,1.42,0.591,0.028,31.5,4.02,24.7,1.86,23,1.07,0.00456,0.844,0.201
441,SF,UnInfected,129SL,Block1,70.1,50.2,5.14,1.44,39.2,4.48,2.67,0.114,4.46,0.425,0.0573,0.485,19.5,0.37,0.494,14.8,3.85,0.639,0.0164,27.9,3.5,16,1.17,14.9,0.948,0.00318,0.802,0.188
446,SF,UnInfected,129SL,Block1,58.3,42.1,4.21,1.76,33.2,2.93,3.76,0.306,3.76,0.711,0.314,0.296,15.8,0.306,0.447,12.4,2.63,0.775,0.0275,37.1,4.34,27.3,1.94,25.5,1.64,0.00247,2.79,1.53
408,SF,UnInfected,B6,Block1,64.8,35.1,3.99,3.65,26.3,1.16,2.15,0.549,3.99,0.585,0.109,0.437,29,0.535,5.02,22.7,0.679,2.08,0.0595,32,3.39,24.8,1.45,23.4,1.48,0.269,1.22,0.263
412,SF,UnInfected,B6,Block1,61.8,26,6.36,0.637,3.77,15.3,2.52,0.137,3.49,0.485,0.167,0.599,35.1,5.47,1.02,1.95,26.6,2.04,0.0455,33.7,3.06,4.51,0.265,4.27,1.94,0.288,1.82,0.435
415,SF,UnInfected,B6,Block1,58.4,31.2,3.67,2.69,23.7,1.14,3.34,0.343,3.81,0.509,0.732,0.507,26.3,0.61,4.21,20.2,1.29,3.5,0.0312,37.4,5.7,32.4,3.66,28.9,1.7,0.436,1.76,0.545
421,SF,UnInfected,B6,Block1,54,30.1,6.03,1.36,18.3,4.42,3.68,25.9,4.48,0.603,0.818,1.03,23.2,1.29,3.09,11.8,7.01,2.3,0.871,41.5,3.77,12.8,0.794,12,1.34,0.312,2.44,0.403
450,SF,UnInfected,PWK,Block1,78.8,52.5,6.86,42.4,2.78,0.407,4.04,0.402,4.28,0.385,0.131,0.946,26,1.03,23.6,1.28,0.0823,1.93,0.0292,19.3,1.92,9.95,0.469,9.51,0.63,0.00117,0.926,0.272
