Mouse ID,Location,Infected,Strain,Block,% T cells of CD45+,% CD4+ of CD45+,% CD4+/Q1 CD62L- / CD44+ eff mem of CD45+,% CD4+/Q2 CD62L+ / CD44+ cent mem of CD45+,% CD4+/Q3 CD62L+ / CD44- naive of CD45+,% CD4+/Q4 CD62L- / CD44- of CD45+,% Ki-67+ activated CD4 of CD45+,% KLRG1+ CD4+ of CD45+,% FoxP3+ CD4+ of CD45+,% Gata3+ CD4+ of CD45+,% Tbet+ CD4+ of CD45+,% RorgT+ CD4+ of CD45+,% CD8+ of CD45+,% Q1 CD62L-  CD44+ eff mem of CD45+,% CD8+/Q2 CD62L+ / CD44+ cent mem of CD45+,% CD8+/Q3 CD62L+ / CD44- naive of CD45+,% CD8+/Q4 CD62L- / CD44- of CD45+,% Ki-67+ CD8+ of CD45+,% KLRG1+ CD8+ of CD45+,% B220+ cells of CD45+,% CD44+ B cells of CD45+,% CD62L+ Bcells of CD45+,% CD62hiCD44+ B cells of CD45+,% CD62hiCD44- B cells of CD45+,% gd T cells of CD45+,% NK cells of CD45+,% lin- of CD45+,% Ki67+ ILCs of CD45+
279,Lab,Infected,B6,Block2,43.9,25.5,2.47,0.675,19.6,2.75,2.79,0.618,3.33,1.18,2.82,1.1,17.5,0.491,1.2,15,0.846,1.54,0.0412,50.6,1.57,41.1,0.697,40.5,1.51,0.39,1.77,0.612
285,Lab,Infected,B6,Block2,44.9,24.6,2.11,0.629,19,2.85,2.66,0.639,2.73,0.833,2.73,1.24,19.4,0.961,1.47,15.5,1.41,2.46,0.263,48.1,1.35,37.5,0.545,37.1,1.69,0.478,1.95,0.504
286,Lab,Infected,B6,Block2,41.9,23.2,2.05,0.452,17.3,3.38,2.75,0.779,2.7,0.927,2.83,2.49,18.1,0.499,1.09,15,1.49,1.87,0.07,50.1,1.1,34.7,0.3,34.4,1.86,0.35,1.38,0.294
295,Lab,Infected,B6,Block2,44.7,24.8,2.16,0.581,18.9,3.14,3.02,0.77,2.8,0.931,3.04,1.7,19,0.973,1.05,15.3,1.68,2.36,0.143,49,1.09,38.7,0.429,38.3,1.83,0.381,1.38,0.387
299,Lab,Infected,B6,Block2,41.2,22.4,2.75,0.733,15.7,3.29,2.79,0.637,3.16,1.13,3.11,2.02,17.9,0.511,1.61,14.6,1.13,1.74,0.0468,52.8,1.48,40.5,0.643,39.9,1.62,0.338,1.72,0.453
308,Lab,Infected,PWK,Block2,68.7,45.9,3.97,9.59,28.8,3.56,1.63,0.441,4.39,0.504,1.51,0.42,22.5,0.784,12.1,9.02,0.61,0.877,0.0303,25.9,0.912,12.8,0.23,12.5,0.741,0.00293,0.823,0.106
312,Lab,Infected,PWK,Block2,62.6,41,6.02,2.24,17.5,15.2,2.12,0.358,4.35,0.621,1.97,0.513,21.4,8.11,1.88,3.54,7.9,1.14,0.0401,30.7,0.974,1.33,0.0549,1.27,1.16,0.00423,1.41,0.2
319,Lab,Infected,PWK,Block2,47.8,29.4,5.83,1.63,19.3,2.68,2.18,0.685,3.91,0.168,2.76,0.73,17.7,0.821,5,11.2,0.625,1.06,0.0961,41.9,2.03,13.7,0.517,13.2,2.07,0.0021,6.13,0.883
323,Lab,Infected,PWK,Block2,81,55.7,3.78,7.59,40.3,4.07,1.82,0.317,4.97,0.384,1.02,0.507,25,0.785,11.8,11.8,0.586,1.05,0.0293,13.3,0.52,6.95,0.0959,6.86,0.708,0.00404,0.666,0.0696
104,SF,Uninfected,129SL,Block2,61,43.9,4.17,2.25,34.1,3.33,5.05,0.445,5.83,2.76,0.243,0.504,16.8,0.224,0.445,15.8,0.404,0.945,0.0257,33.6,1.7,26.7,0.834,25.9,1.98,0.00249,2.62,0.829
111,SF,Uninfected,129SL,Block2,67,48.9,4.57,2.18,39.3,2.89,2.86,0.548,5.67,1.31,0.222,0.406,17.9,0.152,0.425,17,0.386,0.631,0.0179,30.4,2.16,26.6,0.967,25.7,0.831,0.00489,1.13,0.23
114,SF,Uninfected,129SL,Block2,65.5,47.9,4.6,2.32,38.5,2.44,2.82,0.529,5.77,1.65,0.197,0.538,17.4,0.143,0.477,16.5,0.265,0.687,0.0188,31.8,2.74,27,1.3,25.8,0.861,0.00179,1.22,0.243
123,SF,Uninfected,129SL,Block2,68,50.7,4.5,1.66,41.2,3.31,2.24,0.344,6.13,1.12,0.3,0.32,17.2,0.167,0.312,16,0.643,0.588,0.0222,29.4,2.14,25.8,1.05,24.9,0.881,0.00101,1.11,0.237
2,SF,Uninfected,B6,Block2,51.6,29.3,4.85,2.87,20.1,1.4,2.3,1.98,4.97,0.585,0.669,1.4,21.8,0.549,2.98,17.8,0.512,1.25,0.543,45.3,5.54,41,3.29,37.9,1.39,0.247,1.13,0.318
33,SF,Uninfected,B6,Block2,59,34.4,4.31,1.48,25.9,2.73,2.56,0.786,4.72,1.3,0.678,0.804,23.8,0.402,2.09,20.3,1.06,1.46,0.0749,36.4,2.06,30.9,1.12,29.9,1.15,0.333,2.29,0.396
41,SF,Uninfected,B6,Block2,57.5,31.8,4.65,3.58,22.6,1.01,2.69,0.627,4.77,0.535,0.541,1.41,25,0.847,3.37,20.3,0.51,1.89,0.188,39.5,4.96,36.6,3.15,33.6,1.25,0.277,1.24,0.314
