Wedge,Timestamp,RFID,Mouse
70,8/19/21 4:43,48 48 48 49 51 48 50 51 55,287
30,8/19/21 4:41,48 48 48 49 51 48 51 55 50,117
70,8/19/21 4:41,48 48 48 49 51 48 50 51 55,287
11,8/19/21 4:40,48 48 48 49 51 48 51 57 50,298
3,8/19/21 4:40,48 48 48 48 55 50 56 56 48,311
70,8/19/21 4:40,48 48 48 49 51 48 50 53 54,277
70,8/19/21 4:36,48 48 48 49 51 48 50 57 48,274
70,8/19/21 4:36,48 48 48 49 51 48 51 57 50,298
70,8/19/21 4:35,48 48 48 49 51 48 51 54 54,294
70,8/19/21 4:35,48 48 48 49 51 48 50 50 57,300
70,8/19/21 4:34,48 48 48 49 51 48 51 49 57,282
70,8/19/21 4:33,48 48 48 49 51 48 51 57 50,298
70,8/19/21 4:31,48 48 48 49 51 48 51 49 55,273
70,8/19/21 4:30,48 48 48 49 51 48 50 57 48,274
70,8/19/21 4:27,48 48 48 49 51 48 51 52 49,280
70,8/19/21 4:24,48 48 48 49 51 48 51 50 56,289
70,8/19/21 4:24,48 48 48 49 51 48 51 49 57,282
70,8/19/21 4:23,48 48 48 49 51 48 50 53 54,277
70,8/19/21 4:22,48 48 48 49 51 48 50 53 50,283
70,8/19/21 4:20,48 48 48 49 51 48 51 50 56,289
71,8/19/21 4:18,48 48 48 48 55 50 56 56 48,311
70,8/19/21 4:16,48 48 48 49 51 48 50 54 49,297
70,8/19/21 4:16,48 48 48 49 51 48 50 54 49,297
70,8/19/21 4:15,48 48 48 49 51 48 50 54 49,297
71,8/19/21 4:14,48 48 48 48 55 50 56 56 48,311
70,8/19/21 4:13,48 48 48 49 51 48 51 52 49,280
70,8/19/21 4:12,48 48 48 49 51 48 50 57 48,274
70,8/19/21 4:11,48 48 48 49 51 48 50 53 54,277
30,8/19/21 4:08,48 48 48 48 55 50 56 57 55,103
70,8/19/21 4:07,48 48 48 49 51 48 51 50 56,289
70,8/19/21 4:05,48 48 48 49 51 48 51 50 56,289
70,8/19/21 4:05,48 48 48 49 51 48 51 57 50,298
70,8/19/21 4:05,48 48 48 49 51 48 51 49 55,273
70,8/19/21 4:03,48 48 48 49 51 48 50 53 50,283
70,8/19/21 4:03,48 48 48 49 51 48 51 57 50,298
70,8/19/21 4:02,48 48 48 49 51 48 50 51 55,287
70,8/19/21 4:02,48 48 48 49 51 48 50 51 55,287
70,8/19/21 4:01,48 48 48 49 51 48 50 54 49,297
70,8/19/21 3:58,48 48 48 49 51 48 51 57 50,298
30,8/19/21 3:58,48 48 48 49 51 48 51 55 50,117
30,8/19/21 3:58,48 48 48 49 51 48 51 55 50,117
70,8/19/21 3:57,48 48 48 49 51 48 51 57 50,298
30,8/19/21 3:56,48 48 48 48 55 50 56 57 55,103
70,8/19/21 3:53,48 48 48 49 51 48 50 57 50,291
70,8/19/21 3:49,48 48 48 49 51 48 50 51 55,287
10,8/19/21 3:49,48 48 48 49 51 48 50 50 57,300
70,8/19/21 3:49,48 48 48 49 51 48 51 54 54,294
70,8/19/21 3:47,48 48 48 49 51 48 51 49 57,282
30,8/19/21 3:46,48 48 48 49 51 48 51 55 50,117
10,8/19/21 3:45,48 48 48 49 51 48 50 50 57,300
70,8/19/21 3:43,48 48 48 49 51 48 50 51 55,287
10,8/19/21 3:42,48 48 48 49 51 48 50 50 57,300
70,8/19/21 3:40,48 48 48 49 51 48 51 49 57,282
70,8/19/21 3:36,48 48 48 49 51 48 51 50 56,289
70,8/19/21 3:35,48 48 48 49 51 48 50 57 50,291
70,8/19/21 3:34,48 48 48 49 51 48 51 50 56,289
70,8/19/21 3:31,48 48 48 49 51 48 51 54 54,294
30,8/19/21 3:30,48 48 48 48 55 50 56 57 55,103
70,8/19/21 3:22,48 48 48 49 51 48 51 52 49,280
70,8/19/21 3:19,48 48 48 49 51 48 50 50 57,300
