Wedge,Timestamp,RFID,Mouse
30,5/27/21 22:20,48 48 48 49 51 48 50 52 55,463
30,5/27/21 22:20,48 48 48 49 51 48 50 52 55,463
30,5/27/21 22:21,48 48 48 49 51 48 51 56 53,458
30,5/27/21 22:21,48 48 48 49 51 48 51 56 53,458
30,5/27/21 22:22,48 48 48 49 51 48 51 56 53,458
30,5/27/21 22:23,48 48 48 49 51 48 51 52 57,474
30,5/27/21 22:23,48 48 48 49 51 48 51 52 57,474
30,5/27/21 22:25,48 48 48 49 51 48 51 48 57,473
30,5/27/21 22:25,48 48 48 49 51 48 51 48 57,473
30,5/27/21 22:26,48 48 48 49 51 48 51 55 53,464
30,5/27/21 22:26,48 48 48 49 51 48 51 55 53,464
30,5/27/21 22:27,48 48 48 49 51 48 51 55 53,464
30,5/27/21 22:27,48 48 48 49 51 48 51 52 57,474
30,5/27/21 22:27,48 48 48 49 51 48 51 55 53,464
30,5/27/21 22:31,48 48 48 49 51 48 51 52 57,474
30,5/27/21 22:32,48 48 48 49 51 48 51 52 57,474
30,5/27/21 22:34,48 48 48 49 51 48 51 50 52,450
30,5/27/21 22:34,48 48 48 49 51 48 51 50 52,450
30,5/27/21 22:35,48 48 48 49 51 48 51 55 53,464
30,5/27/21 22:36,48 48 48 49 51 48 51 55 52,465
30,5/27/21 22:36,48 48 48 49 51 48 51 55 52,465
30,5/27/21 22:37,48 48 48 49 51 48 51 48 57,473
30,5/27/21 22:37,48 48 48 49 51 48 51 48 57,473
30,5/27/21 22:45,48 48 48 49 51 48 51 50 52,450
30,5/27/21 22:45,48 48 48 49 51 48 51 50 52,450
30,5/27/21 22:45,48 48 48 49 51 48 51 50 52,450
30,5/27/21 22:52,48 48 48 49 51 48 50 52 48,457
30,5/27/21 22:52,48 48 48 49 51 48 50 52 48,457
30,5/27/21 22:52,48 48 48 49 51 48 50 52 48,457
30,5/27/21 22:53,48 48 48 49 51 48 51 55 52,465
30,5/27/21 22:54,48 48 48 49 51 48 51 55 52,465
30,5/27/21 22:59,48 48 48 49 51 48 50 52 48,457
30,5/27/21 22:59,48 48 48 49 51 48 50 52 48,457
30,5/27/21 22:59,48 48 48 49 51 48 50 52 48,457
1,5/27/21 23:15,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:15,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:15,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:16,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:16,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:16,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:16,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:17,48 48 48 49 51 48 51 55 55,466
30,5/27/21 23:18,48 48 48 49 51 48 50 49 54,471
30,5/27/21 23:18,48 48 48 49 51 48 50 49 54,471
30,5/27/21 23:19,48 48 48 49 51 48 50 49 54,471
1,5/27/21 23:20,48 48 48 49 51 48 50 52 55,463
1,5/27/21 23:20,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:20,48 48 48 49 51 48 50 52 55,463
1,5/27/21 23:20,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:21,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:21,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:21,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:21,48 48 48 49 51 48 51 55 55,466
1,5/27/21 23:23,48 48 48 49 51 48 50 52 55,463
70,5/27/21 23:24,48 48 48 49 51 48 50 55 56,425
70,5/27/21 23:24,48 48 48 49 51 48 50 55 56,425
70,5/27/21 23:24,48 48 48 49 51 48 50 55 56,425
30,5/27/21 23:29,48 48 48 49 51 48 50 52 49,459
30,5/27/21 23:39,48 48 48 49 51 48 50 52 49,459
12,5/27/21 23:39,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:39,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:40,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:40,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:40,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:41,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:41,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:41,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:42,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:42,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:43,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:43,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:43,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:43,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:43,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:44,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:44,48 48 48 49 51 48 50 53 56,437
30,5/27/21 23:44,48 48 48 49 51 48 50 52 48,457
12,5/27/21 23:44,48 48 48 49 51 48 50 53 56,437
30,5/27/21 23:44,48 48 48 49 51 48 50 52 48,457
12,5/27/21 23:44,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:44,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:44,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:44,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:44,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:45,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:46,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:46,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:46,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
12,5/27/21 23:50,48 48 48 49 51 48 50 53 56,437
