Cage,Genotype,Left ear tag,Right ear tag,Parentage,RFID Tag,Location,Wedge,Sex,Infected,Lost RFID 1,Lost RFID 2,Missing 1,Missing 2,Uncaptured
1,C57,158,326,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
1,C57,156,327,,51 48 51 57 51,SF,7,Female,N,FALSE,FALSE,TRUE,TRUE,TRUE
1,C57,178,328,,51 48 50 54 50,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
1,C57,179,329,,51 48 50 49 53,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
1,C57,180,330,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
2,C57,181,331,,51 48 50 50 52,SF,7,Female,N,FALSE,FALSE,TRUE,TRUE,TRUE
2,C57,182,332,,51 48 50 53 52,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
2,C57,183,333,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
2,C57,184,334,,51 48 51 48 53,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
2,C57,162,335,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
3,C57,186,357,,51 48 50 51 48,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
3,C57,187,337,,51 48 51 57 57,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,TRUE
3,C57,188,338,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
3,C57,189,339,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
3,C57,190,340,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
4,C57,,358,,51 48 51 53 55,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,TRUE
4,C57,159,342,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
4,C57,157,343,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
4,C57,194,344,,51 48 51 48 50,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,TRUE
4,C57,195,345,,51 48 50 56 50,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,TRUE
5,C57,196,346,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
5,C57,,356,,51 48 50 51 57,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
5,C57,198,348,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
5,C57,199,349,,51 48 50 54 55,SF,6,Female,N,TRUE,FALSE,FALSE,FALSE,FALSE
5,C57,200,350,,51 48 51 55 49,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
6,C57,126,376,,51 48 50 48 49,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,TRUE
6,C57,127,377,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
6,C57,128,378,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
6,C57,129,379,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
6,C57,130,380,,51 48 51 49 48,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
7,C57,131,381,,51 48 50 50 53,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
7,C57,132,382,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
7,C57,133,383,,51 48 50 48 56,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
7,C57,134,384,,50 48 51 50 55,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
7,C57,165,385,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
8,C57,136,386,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
8,C57,137,387,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
8,C57,138,388,,51 48 51 48 52,SF,7,Female,N,FALSE,FALSE,FALSE,TRUE,TRUE
8,C57,139,389,,51 48 51 57 48,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
8,C57,140,390,,51 48 51 56 56,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
9,C57,160,391,,51 48 51 56 51,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
9,C57,142,392,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
9,C57,163,393,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
9,C57,144,394,,51 48 51 52 56,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
9,C57,145,395,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
10,C57,161,396,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
10,C57,147,359,,51 48 51 56 52,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
10,C57,148,398,,51 48 50 50 50,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
10,C57,164,399,,51 48 51 50 50,SF,6,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
10,C57,150,400,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
11,C57,151,351,,51 48 51 54 55,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
11,C57,152,352,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
11,C57,153,353,,51 48 50 48 52,SF,7,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
11,C57,154,354,,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
11,C57,155,355,,51 48 50 54 52,SF,7,Female,N,TRUE,TRUE,FALSE,FALSE,FALSE
12,C57,401,89,G571,51 48 51 55 56,SF,3,Female,Y,FALSE,FALSE,FALSE,TRUE,TRUE
12,C57,402,7050,G571,51 48 50 57 49,SF,3,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
12,C57,403,7052,G571,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
12,C57,404,76,G571,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
13,C57,405,7021,G549,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
13,C57,406,7030,G551,51 48 50 53 57,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
13,C57,407,7023,G549,51 48 50 50 55,SF,3,Female,Y,TRUE,FALSE,FALSE,FALSE,FALSE
13,C57,408,77,NA,51 48 50 48 57,SF,3,Female,N,TRUE,FALSE,FALSE,FALSE,FALSE
